net,length_um
i_value2[0],12.16
i_value4[0],12.16
_063_,12.1
u_sort.bucket_reg\[2\]\[1\],12
_129_,11.76
u_sort.bucket_reg\[3\]\[2\],11.74
u_am1.b_i\[2\],11.54
_095_,11.52
net52,11.52
net47,11.26
i_value4[2],11.02
u_sort.bucket_reg\[3\]\[1\],10.86
_097_,10.78
i_value1[2],10.78
_079_,10.62
o_index[0],10.56
_196_,10.5
_181_,10.3
u_am0.max\[0\],10.16
i_value3[2],10.1
i_value0[2],10.07
_043_,9.98
o_valid,9.95
i_value2[1],9.64
i_value3[0],9.64
i_value0[0],9.4
i_value1[0],9.4
net51,9.4
_151_,9.3
_152_,9.26
_108_,9.2
net36,9.18
u_am1.max\[2\],9.16
_122_,9.04
_120_,8.94
_189_,8.94
_140_,8.92
_138_,8.86
_169_,8.82
net18,8.78
net34,8.72
_048_,8.68
_107_,8.58
net26,8.56
_105_,8.5
_089_,8.48
net45,8.32
_199_,8.24
_110_,8.16
net63,8.02
_209_,7.96
_139_,7.94
net42,7.92
net55,7.92
net5,7.86
net64,7.68
u_am4.max\[1\],7.64
_167_,7.6
_132_,7.585
_150_,7.56
net68,7.42
_060_,7.34
net29,7.32
_121_,7.24
u_am2.max\[1\],7.24
_061_,7.22
_103_,7.18
_147_,7.12
net31,7.12
_149_,7.06
net38,7.06
_081_,7
net67,6.96
u_am0.max\[2\],6.94
u_sort.bucket_reg\[0\]\[1\],6.94
_013_,6.84
u_sort.valid_reg\[2\],6.82
_046_,6.72
_166_,6.66
_197_,6.64
u_am4.max\[2\],6.64
net39,6.6
net25,6.52
u_am2.b_i\[1\],6.44
net48,6.44
_050_,6.4
net23,6.38
_084_,6.28
_128_,6.26
_160_,6.2
_100_,6.14
_164_,6.14
u_control.o_start_sort,6.14
net70,6.08
i_value1[1],5.97
rst_n,5.97
_000_,5.94
u_am0.max\[1\],5.94
u_am1.max\[1\],5.94
u_am4.max\[0\],5.94
_131_,5.84
_136_,5.84
_003_,5.8
_037_,5.8
_075_,5.8
_078_,5.8
_093_,5.8
_094_,5.8
_163_,5.8
_175_,5.8
_158_,5.72
_176_,5.72
net20,5.72
_114_,5.68
_204_,5.68
_082_,5.56
o_bucket[1],5.53
_053_,5.5
_014_,5.46
u_am3.b_i\[0\],5.34
_051_,5.26
_157_,5.26
net43,5.26
_112_,5.14
o_bucket[0],5.07
o_bucket[2],5.07
_057_,5.04
_021_,5
i_value2[2],4.95
i_value4[1],4.95
o_index[2],4.95
_153_,4.94
_004_,4.92
_030_,4.92
_135_,4.92
_055_,4.88
_076_,4.88
_133_,4.88
_143_,4.85
_183_,4.8
net65,4.8
_148_,4.76
_032_,4.68
net73,4.68
net40,4.66
u_sort.bucket_reg\[2\]\[2\],4.6
_028_,4.58
_045_,4.58
_056_,4.56
_207_,4.56
_068_,4.48
u_am3.max\[2\],4.48
_142_,4.46
_144_,4.46
u_am4.b_i\[1\],4.46
net32,4.46
_170_,4.42
net19,4.42
net21,4.34
i_valid,4.27
net41,4.2
_025_,4.12
_064_,4.12
u_sort.bucket_counter\[2\],4.12
_067_,4.02
_012_,4
_023_,4
_118_,4
_178_,4
u_am2.b_i\[2\],4
net62,4
_172_,3.88
net69,3.88
net71,3.88
net44,3.74
net28,3.68
_026_,3.66
_174_,3.56
_008_,3.54
_017_,3.54
_059_,3.54
_187_,3.54
_198_,3.44
_124_,3.425
_154_,3.425
_173_,3.42
_009_,3.32
net46,3.32
_011_,3.23
u_am1.b_i\[1\],3.22
u_am4.b_i\[2\],3.22
net30,3.22
net72,3.22
_006_,3.2
u_am1.max\[0\],3.18
_005_,3.1
_019_,3.1
_034_,3.1
_116_,3.1
_155_,3.1
_020_,3.08
u_am3.b_i\[1\],3.08
net33,3.08
net35,3.08
_161_,2.98
_210_,2.98
_104_,2.96
_123_,2.96
_182_,2.96
_194_,2.96
_206_,2.96
_040_,2.805
net61,2.76
_024_,2.74
_035_,2.74
_058_,2.74
_201_,2.74
_022_,2.64
_042_,2.64
_044_,2.64
_072_,2.64
_195_,2.64
_115_,2.625
_029_,2.62
_180_,2.62
u_am1.b_i\[0\],2.62
u_am4.b_i\[0\],2.62
_062_,2.52
_137_,2.52
_162_,2.52
_184_,2.52
_202_,2.5
net54,2.3
net60,2.3
net66,2.3
_007_,2.28
_015_,2.28
_036_,2.28
_010_,2.205
_038_,2.18
_047_,2.18
_049_,2.18
_052_,2.18
_125_,2.18
_027_,2.16
_127_,2.06
_179_,2.06
_190_,2.06
net24,2.04
_073_,1.88
_001_,1.84
_203_,1.84
_031_,1.82
_041_,1.82
_039_,1.7
_168_,1.7
u_am0.b_i\[0\],1.7
u_am0.b_i\[1\],1.7
u_am3.b_i\[2\],1.7
_119_,1.6
_146_,1.6
_193_,1.56
_016_,1.545
_018_,1.545
_192_,1.38
net27,1.38
_033_,1.36
_205_,1.36
u_sort.bucket_counter\[1\],1.26
_159_,1.14
_165_,1.14
_171_,1.14
_200_,1.14
net1,1.14
_054_,1.085
u_sort.valid_reg\[4\],0.8
u_am0.b_i\[2\],0.46
u_am2.b_i\[0\],0.46
