net,length_um
net17,588.42
_065_,253.58
_098_,253.2
u_am0.i_index\[0\],171.67
_002_,167.84
_071_,160.395
u_am0.i_index\[1\],157.6
u_am0.i_index\[2\],156.38
_074_,146.72
clknet_0_clk,118.29
_070_,116.8
net14,109.78
clknet_3_7__leaf_clk,99.76
clknet_3_0__leaf_clk,98.9
net3,92.68
u_sort.bucket_counter\[0\],82.71
net8,68.48
clknet_3_6__leaf_clk,68.22
net6,65.4
clknet_3_2__leaf_clk,65.26
clknet_3_3__leaf_clk,65.02
clknet_3_5__leaf_clk,60.48
net9,59.97
clk,59.61
net7,58.88
clknet_3_1__leaf_clk,56.5
net11,56.3
_102_,50.28
_099_,48.66
clknet_3_4__leaf_clk,46.06
net16,45.8
net22,43.06
_101_,41.58
_191_,39.77
_111_,39.715
_117_,39.6
_096_,38.015
_134_,36.52
_145_,35.96
_126_,35.06
net12,34.07
_156_,30.48
u_sort.bucket_reg\[4\]\[0\],29.65
_109_,28.4
_069_,28.28
_087_,26.43
_092_,25.68
net10,25.425
net15,24.74
_186_,24.62
u_sort.valid_reg\[1\],24.62
_085_,24.42
u_sort.valid_reg\[3\],23.72
_185_,22.66
_106_,22.26
u_sort.bucket_reg\[3\]\[0\],22.26
net4,22.18
u_sort.bucket_reg\[2\]\[0\],21.64
u_sort.bucket_reg\[4\]\[1\],21.54
_088_,21.52
u_sort.bucket_reg\[1\]\[0\],21.42
_077_,21.12
_113_,20.64
u_sort.busy,20.4
u_sort.bucket_reg\[1\]\[1\],20.22
u_sort.valid_reg\[0\],20.16
net13,18.9
net58,17.66
u_sort.bucket_reg\[0\]\[2\],16.88
u_sort.bucket_reg\[1\]\[2\],16.02
_086_,15.72
u_sort.bucket_reg\[4\]\[2\],15.32
i_value3[1],15.16
_091_,14.9
_090_,14.62
net53,14.5
net37,14.42
net56,14.34
u_am3.max\[1\],14.02
_066_,13.76
net59,13.76
net49,13.68
o_index[1],13.56
net57,13.56
_208_,13.54
u_am3.max\[0\],13.5
_177_,13.32
_141_,13.04
_080_,12.975
u_sort.bucket_reg\[0\]\[0\],12.9
i_value0[1],12.86
_083_,12.73
net50,12.58
_130_,12.56
net2,12.42
u_am2.max\[2\],12.36
_188_,12.3
u_am2.max\[0\],12.22
